uuid,name,description,class,datatype,shortname,template,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Invasive Ductal Carcinoma,,Misc,N/A,Invasive Ductal Carcinoma,Breast Cancer,,,,,,,,,,,
,Invasive Lobular Carcinoma,,Misc,N/A,Invasive Lobular Carcinoma,Breast Cancer,,,,,,,,,,,
,Other Invasive Carcinoma (Specify),,Misc,N/A,Other Invasive Carcinoma (Specify),Breast Cancer,,,,,,,,,,,
,ER+,,Misc,N/A,ER+,Breast Cancer,,,,,,,,,,,
,ER-,,Misc,N/A,ER-,Breast Cancer,,,,,,,,,,,
,PR+,,Misc,N/A,PR+,Breast Cancer,,,,,,,,,,,
,PR-,,Misc,N/A,PR-,Breast Cancer,,,,,,,,,,,
,HER2 IHC+,,Misc,N/A,HER2 IHC+,Breast Cancer,,,,,,,,,,,
,HER2 IHC-,,Misc,N/A,HER2 IHC-,Breast Cancer,,,,,,,,,,,
,HER2 FISH+,,Misc,N/A,HER2 FISH+,Breast Cancer,,,,,,,,,,,
,HER2 FISH-,,Misc,N/A,HER2 FISH-,Breast Cancer,,,,,,,,,,,
,Not determined,,Misc,N/A,Not determined,Breast Cancer,,,,,,,,,,,
,Fixed,,Misc,N/A,Fixed,Breast Cancer,,,,,,,,,,,
,Mobile,,Misc,N/A,Mobile,Breast Cancer,,,,,,,,,,,
,Fixed/matted,,Misc,N/A,Fixed/matted,Breast Cancer,,,,,,,,,,,
,T0 Tumor Stage,,Misc,N/A,T0,Breast Cancer,,,,,,,,,,,
,T1 Tumor Stage,,Misc,N/A,T1,Breast Cancer,,,,,,,,,,,
,T2 Tumor Stage,,Misc,N/A,T2,Breast Cancer,,,,,,,,,,,
,T3 Tumor Stage,,Misc,N/A,T3,Breast Cancer,,,,,,,,,,,
,T4 Tumor Stage,,Misc,N/A,T4,Breast Cancer,,,,,,,,,,,
,TX Tumor Stage,,Misc,N/A,TX,Breast Cancer,,,,,,,,,,,
,Tis Tumor Stage,,Misc,N/A,Tis,Breast Cancer,,,,,,,,,,,
,Td4 Tumor Stage,,Misc,N/A,Td4,Breast Cancer,,,,,,,,,,,
,N0 Lymph Node Stage,,Misc,N/A,N0,Breast Cancer,,,,,,,,,,,
,N1 Lymph Node Stage,,Misc,N/A,N1,Breast Cancer,,,,,,,,,,,
,N2 Lymph Node Stage,,Misc,N/A,N2,Breast Cancer,,,,,,,,,,,
,N3 Lymph Node Stage,,Misc,N/A,N3,Breast Cancer,,,,,,,,,,,
,NX Lymph Node Stage,,Misc,N/A,NX,Breast Cancer,,,,,,,,,,,
,M0 Metastatic Stage,,Misc,N/A,M0,Breast Cancer,,,,,,,,,,,
,M1 Metastatic Stage,,Misc,N/A,M1,Breast Cancer,,,,,,,,,,,
,MX Metastatic Stage,,Misc,N/A,MX,Breast Cancer,,,,,,,,,,,
,Stage 0,,Misc,N/A,0,Breast Cancer,,,,,,,,,,,
,Stage I,,Misc,N/A,I,Breast Cancer,,,,,,,,,,,
,Stage IIA,,Misc,N/A,IIA,Breast Cancer,,,,,,,,,,,
,Stage IIB,,Misc,N/A,IIB,Breast Cancer,,,,,,,,,,,
,Stage IIIA,,Misc,N/A,IIIA,Breast Cancer,,,,,,,,,,,
,Stage IIIB,,Misc,N/A,IIIB,Breast Cancer,,,,,,,,,,,
,Stage IIIC,,Misc,N/A,IIIC,Breast Cancer,,,,,,,,,,,
,Stage IV,,Misc,N/A,IV,Breast Cancer,,,,,,,,,,,
,Early,,Misc,N/A,Early,Breast Cancer,,,,,,,,,,,
,Locally Advanced,,Misc,N/A,Locally Advanced,Breast Cancer,,,,,,,,,,,
,Metastatic,,Misc,N/A,Metastatic,Breast Cancer,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,Breast Cancer,,,,,,,,,,,
,Palliative Systemic ,,Misc,N/A,Palliative Systemic ,Breast Cancer,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,Breast Cancer,,,,,,,,,,,
,Chemotherapy,,Misc,N/A,Chemotherapy,Breast Cancer,,,,,,,,,,,
,Surgery,,Misc,N/A,Surgery,Breast Cancer,,,,,,,,,,,
